type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.900904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.901928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.903005
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:05:25.903005
